X : 1 if unit j processes task i starting at time t
    Size=2420, Index=X_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
     ('T1', 'U2', 16) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 17) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 18) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 19) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 20) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 21) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 22) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 23) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 24) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 25) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 26) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 27) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 28) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 29) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 30) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 31) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 32) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 33) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 34) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 35) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 36) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 37) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 38) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 39) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 40) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 41) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 42) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 43) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 44) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 45) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 46) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 47) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 48) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 49) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 50) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 51) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 52) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 53) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 54) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 55) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 56) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 57) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 58) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 59) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 60) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 61) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 62) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 63) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 64) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 65) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 66) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 67) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 68) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 69) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 70) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 71) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 72) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 73) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 74) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 75) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 76) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 77) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 78) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 79) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 80) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 81) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 82) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 83) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 84) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 85) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 86) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 87) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 88) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 89) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 90) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 91) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 92) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 93) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 94) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 95) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 96) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 97) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 98) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U2', 99) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 100) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 101) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 102) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 103) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 104) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 105) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 106) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 107) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 108) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 109) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 110) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 111) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 112) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 113) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 114) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 115) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 116) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 117) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 118) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 119) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U2', 120) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 0) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 1) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 2) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 3) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 4) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 5) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 6) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 7) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 8) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U3', 9) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 10) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 11) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 12) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 13) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 14) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 15) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 16) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 17) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 18) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 19) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 20) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 21) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 22) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 23) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 24) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 25) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 26) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 27) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 28) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 29) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 30) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 31) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 32) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 33) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 34) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 35) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 36) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 37) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 38) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 39) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 40) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 41) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 42) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 43) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 44) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 45) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 46) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 47) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 48) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 49) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 50) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 51) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 52) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 53) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 54) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 55) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 56) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 57) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 58) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 59) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 60) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 61) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 62) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 63) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 64) :     0 :  None :     1 : False :  True : Binary
