varTime : Variable processing time for units that consider dynamics [h]
    Size=6, Index=varTime_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :   2.5 :   2.5 :   4.0 : False : False : NonNegativeReals
    ('R1', 'R_small') :   2.5 :   2.5 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_large') :     3 :   3.0 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_small') :     3 :   3.0 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_large') :     2 :   2.0 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_small') :     2 :   2.0 :   4.0 : False : False : NonNegativeReals

Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R1', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R2', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R2', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R3', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R3', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=273, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value                : Upper : Fixed : Stale : Domain
    (0.554832, 'C') :  0.05 :  0.08605546491268988 :   1.0 : False : False : NonNegativeReals
    (0.554832, 'D') :   0.0 :   1.8278890701746804 :   1.9 : False : False : NonNegativeReals
    (0.566667, 'B') :  0.05 :  0.08351003949934409 :   1.0 : False : False : NonNegativeReals
    (0.566667, 'C') :  0.05 :   0.0835100394993441 :   1.0 : False : False : NonNegativeReals
    (0.566667, 'D') :   0.0 :    1.832979921001369 :   1.9 : False : False : NonNegativeReals
    (0.571835, 'B') :  0.05 :  0.08244287408514427 :   1.0 : False : False : NonNegativeReals
    (0.571835, 'C') :  0.05 :  0.08244287408514428 :   1.0 : False : False : NonNegativeReals
    (0.571835, 'D') :   0.0 :   1.8351142518297687 :   1.9 : False : False : NonNegativeReals
    (0.588165, 'B') :  0.05 :  0.07923089306808555 :   1.0 : False : False : NonNegativeReals
    (0.588165, 'C') :  0.05 :  0.07923089306808555 :   1.0 : False : False : NonNegativeReals
    (0.588165, 'D') :   0.0 :   1.8415382138638847 :   1.9 : False : False : NonNegativeReals
         (0.6, 'B') :  0.05 :  0.07704633868776471 :   1.0 : False : False : NonNegativeReals
         (0.6, 'C') :  0.05 :   0.0770463386877647 :   1.0 : False : False : NonNegativeReals
         (0.6, 'D') :   0.0 :   1.8459073226245235 :   1.9 : False : False : NonNegativeReals
    (0.605168, 'B') :  0.05 :  0.07612808363384006 :   1.0 : False : False : NonNegativeReals
    (0.605168, 'C') :  0.05 :  0.07612808363384004 :   1.0 : False : False : NonNegativeReals
    (0.605168, 'D') :   0.0 :    1.847743832732373 :   1.9 : False : False : NonNegativeReals
    (0.621498, 'B') :  0.05 :  0.07336813524567497 :   1.0 : False : False : NonNegativeReals
    (0.621498, 'C') :  0.05 :  0.07336813524567493 :   1.0 : False : False : NonNegativeReals
    (0.621498, 'D') :   0.0 :    1.853263729508702 :   1.9 : False : False : NonNegativeReals
    (0.633333, 'B') :  0.05 :   0.0714954835660004 :   1.0 : False : False : NonNegativeReals
    (0.633333, 'C') :  0.05 :  0.07149548356600038 :   1.0 : False : False : NonNegativeReals
    (0.633333, 'D') :   0.0 :   1.8570090328680477 :   1.9 : False : False : NonNegativeReals
    (0.638501, 'B') :  0.05 :   0.0707095187388894 :   1.0 : False : False : NonNegativeReals
    (0.638501, 'C') :  0.05 :  0.07070951873888938 :   1.0 : False : False : NonNegativeReals
    (0.638501, 'D') :   0.0 :     1.85858096252227 :   1.9 : False : False : NonNegativeReals
    (0.654832, 'B') :  0.05 :  0.06834442011201276 :   1.0 : False : False : NonNegativeReals
    (0.654832, 'C') :  0.05 :  0.06834442011201275 :   1.0 : False : False : NonNegativeReals
    (0.654832, 'D') :   0.0 :   1.8633111597760215 :   1.9 : False : False : NonNegativeReals
    (0.666667, 'B') :  0.05 :  0.06673500988667116 :   1.0 : False : False : NonNegativeReals
    (0.666667, 'C') :  0.05 :  0.06673500988667115 :   1.0 : False : False : NonNegativeReals
    (0.666667, 'D') :   0.0 :    1.866529980226702 :   1.9 : False : False : NonNegativeReals
    (0.671835, 'B') :  0.05 :  0.06606071312219682 :   1.0 : False : False : NonNegativeReals
    (0.671835, 'C') :  0.05 :  0.06606071312219679 :   1.0 : False : False : NonNegativeReals
    (0.671835, 'D') :   0.0 :    1.867878573755651 :   1.9 : False : False : NonNegativeReals
    (0.688165, 'B') :  0.05 :  0.06401371432261642 :   1.0 : False : False : NonNegativeReals
    (0.688165, 'C') :  0.05 :  0.06401371432261636 :   1.0 : False : False : NonNegativeReals
    (0.688165, 'D') :   0.0 :     1.87197257135481 :   1.9 : False : False : NonNegativeReals
         (0.7, 'B') :  0.05 :  0.06261413060083626 :   1.0 : False : False : NonNegativeReals
         (0.7, 'C') :  0.05 :  0.06261413060083622 :   1.0 : False : False : NonNegativeReals
         (0.7, 'D') :   0.0 :   1.8747717387983678 :   1.9 : False : False : NonNegativeReals
    (0.705168, 'B') :  0.05 : 0.062026773498285774 :   1.0 : False : False : NonNegativeReals
    (0.705168, 'C') :  0.05 :  0.06202677349828574 :   1.0 : False : False : NonNegativeReals
    (0.705168, 'D') :   0.0 :   1.8759464530034693 :   1.9 : False : False : NonNegativeReals
    (0.721498, 'B') :  0.05 :  0.06030576099703819 :   1.0 : False : False : NonNegativeReals
    (0.721498, 'C') :  0.05 :  0.06030576099703814 :   1.0 : False : False : NonNegativeReals
    (0.721498, 'D') :   0.0 :   1.8793884780059629 :   1.9 : False : False : NonNegativeReals
    (0.733333, 'B') :  0.05 :  0.05918774808576865 :   1.0 : False : False : NonNegativeReals
    (0.733333, 'C') :  0.05 :   0.0591877480857686 :   1.0 : False : False : NonNegativeReals
    (0.733333, 'D') :   0.0 :   1.8816245038284982 :   1.9 : False : False : NonNegativeReals
    (0.738501, 'B') :  0.05 :  0.05873334471029966 :   1.0 : False : False : NonNegativeReals
    (0.738501, 'C') :  0.05 :  0.05873334471029961 :   1.0 : False : False : NonNegativeReals
    (0.738501, 'D') :   0.0 :   1.8825333105794366 :   1.9 : False : False : NonNegativeReals
    (0.754832, 'B') :  0.05 :  0.05741971568577524 :   1.0 : False : False : NonNegativeReals
    (0.754832, 'C') :  0.05 :  0.05741971568577521 :   1.0 : False : False : NonNegativeReals
    (0.754832, 'D') :   0.0 :   1.8851605686284838 :   1.9 : False : False : NonNegativeReals
    (0.766667, 'B') :  0.05 :  0.05657212183196597 :   1.0 : False : False : NonNegativeReals
    (0.766667, 'C') :  0.05 : 0.056572121831965944 :   1.0 : False : False : NonNegativeReals
    (0.766667, 'D') :   0.0 :   1.8868557563360995 :   1.9 : False : False : NonNegativeReals
    (0.771835, 'B') :  0.05 : 0.056228392469022885 :   1.0 : False : False : NonNegativeReals
    (0.771835, 'C') :  0.05 :  0.05622839246902286 :   1.0 : False : False : NonNegativeReals
    (0.771835, 'D') :   0.0 :   1.8875432150619857 :   1.9 : False : False : NonNegativeReals
    (0.788165, 'B') :  0.05 : 0.055222073008205495 :   1.0 : False : False : NonNegativeReals
    (0.788165, 'C') :  0.05 :  0.05522207300820547 :   1.0 : False : False : NonNegativeReals
    (0.788165, 'D') :   0.0 :   1.8895558539836188 :   1.9 : False : False : NonNegativeReals
         (0.8, 'B') :  0.05 :  0.05456638733518625 :   1.0 : False : False : NonNegativeReals
         (0.8, 'C') :  0.05 : 0.054566387335186234 :   1.0 : False : False : NonNegativeReals
         (0.8, 'D') :   0.0 :   1.8908672253296537 :   1.9 : False : False : NonNegativeReals
    (0.805168, 'B') :  0.05 :  0.05429928603695105 :   1.0 : False : False : NonNegativeReals
    (0.805168, 'C') :  0.05 : 0.054299286036951035 :   1.0 : False : False : NonNegativeReals
    (0.805168, 'D') :   0.0 :   1.8914014279261246 :   1.9 : False : False : NonNegativeReals
    (0.821498, 'B') :  0.05 :  0.05354763790840502 :   1.0 : False : False : NonNegativeReals
