rho_minus : Fraction of material in state k consumed by task i 
    Size=360, Index=rho_minus_index
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
    ('T5', 'S2', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S2', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S3', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S3', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S3', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S3', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S3', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S3', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S3', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S3', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S4', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S4', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S4', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S4', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S4', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S4', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S4', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S4', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S5', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S5', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S5', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S5', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S5', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S5', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S5', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S5', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S6', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S6', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S6', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S6', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S6', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S6', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S6', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T5', 'S6', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
