step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert
6,18.0,21.0,6.0,3.0,2,0.2802772521972656,24.0,21.0,final,6.0,0.0,6.700008442397774,6.700003488878529,999.9984933269982,999.9986009503845,1.1166680737329624,1.433334496292843,1.433334496292843,958ae2e,True,3.10.18,1,1,4.1904793075010234e-08,9.640090139799671,4.914394247893441,8.471909236070253,4.901896823217086,54.434159091559906,31.17984312272391,
7,21.0,24.0,6.0,3.0,2,0.23434686660766602,27.0,24.0,final,6.0,0.0,6.700011406611458,6.7000103518559015,999.9982780802367,999.9983857036232,1.1166685677685764,1.4333367839519673,1.4333367839519673,958ae2e,True,3.10.18,1,1,4.732323270771852e-08,8.06151969283732,4.428414582274399,8.29193229419471,4.754130633858101,62.49567878439723,35.60825770499831,
0,0.0,3.0,6.0,3.0,1,0.34418487548828125,6.0,3.0,final,6.0,0.0,4.1138797252954005,0.0,999.9997847283524,1000.0,0.6856466208825668,-0.8,-0.8,377735d,True,3.10.18,1,1,8.891483763814238e-08,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,
1,3.0,6.0,6.0,3.0,1,0.14559483528137207,9.0,6.0,final,6.0,0.0,6.02649920496155,4.1138797252954005,999.9995694693758,999.9997847283524,1.0044165341602584,0.5712932417651335,0.5712932417651335,377735d,True,3.10.18,1,1,6.303616610142222e-08,8.266924575782005,4.301230891172324,8.291690082285388,4.388797232692852,16.583380164570777,8.777594465385704,
2,6.0,9.0,6.0,3.0,1,0.15640759468078613,12.0,9.0,final,6.0,0.0,6.5755325893352,6.02649920496155,999.9993542645926,999.9995694693758,1.0959220982225333,1.2088330683205168,1.2088330683205168,377735d,True,3.10.18,1,1,5.998842951650925e-08,5.444694458732327,3.0149669164368476,7.342691541101035,3.9308537939408503,22.028074623303105,11.792561381822551,
3,9.0,12.0,6.0,3.0,1,0.13878607749938965,15.0,12.0,final,6.0,0.0,6.679238067965667,6.5755325893352,999.9991386399734,999.9993542645926,1.1132063446609444,1.3918441964450665,1.3918441964450665,377735d,True,3.10.18,1,1,6.234182479546034e-08,6.995807008464972,4.681589498333196,6.902475347659768,3.9992624353141224,29.023881631768077,16.474150880155747,
4,12.0,15.0,6.0,3.0,1,0.1439967155456543,18.0,15.0,final,6.0,0.0,6.696607608944505,6.679238067965667,999.9989230156491,999.9991386399734,1.1161012681574174,1.4264126893218887,1.4264126893218887,377735d,True,3.10.18,1,1,6.249356746047196e-08,8.60137906212659,4.8717126278765335,7.013960176441297,4.189423014215525,37.62526069389467,21.34586350803228,
5,15.0,18.0,6.0,3.0,1,0.15389800071716309,21.0,18.0,final,6.0,0.0,6.699453902557911,6.696607608944505,999.9987073917961,999.9989230156491,1.1165756504263185,1.4322025363148347,1.4322025363148347,377735d,True,3.10.18,1,1,5.404166918163072e-08,7.174185980597691,4.919582545683852,7.5904573503964174,4.824294890631194,44.79944667449236,26.265446053716133,
6,18.0,21.0,6.0,3.0,1,0.16015934944152832,24.0,21.0,final,6.0,0.0,6.699919620427356,6.699453902557911,999.9984917679603,999.9987073917961,1.116653270071226,1.4331513008526369,1.4331513008526369,377735d,True,3.10.18,1,1,3.88189607421389e-08,9.640088770855145,4.914393724592443,8.471884604526474,4.901896299384276,54.4395354453475,31.179839778308576,
7,21.0,24.0,6.0,3.0,1,0.14563870429992676,27.0,24.0,final,6.0,0.0,6.699996791603655,6.699919620427356,999.9982761441269,999.9984917679603,1.1166661319339426,1.4333065401424518,1.4333065401424518,377735d,True,3.10.18,1,1,3.944286612588189e-08,8.06151874403175,4.428414112391977,8.291931165161529,4.754130127556091,62.50105418937925,35.60825389070055,
0,0.0,3.0,6.0,3.0,2,0.3836028575897217,6.0,3.0,final,6.0,0.0,4.370922033856919,2.616411825050762,999.9997848238982,999.9998923943936,0.7284870056428199,0.07213727501692069,0.07213727501692069,377735d,True,3.10.18,1,1,8.891483763814238e-08,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,
